Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,11/25/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 11/22",-3.25,DEBIT_CARD,689.04,,
DEBIT,11/25/2016,"BURGER KING #16576 LA JOLLA CA               11/23",-1.50,DEBIT_CARD,692.29,,
CREDIT,11/25/2016,"Online Transfer from CHK ...5521 transaction#: 5820252366",100.00,ACCT_XFER,693.79,,
DEBIT,11/22/2016,"VENMO 855-812-4430 NY                        11/21",-18.41,DEBIT_CARD,593.79,,
DEBIT,11/22/2016,"VENMO 855-812-4430 NY                        11/21",-4.00,DEBIT_CARD,612.20,,
DEBIT,11/21/2016,"RALPHS    8657 VIL LA LA JOLLA CA            11/19",-17.20,DEBIT_CARD,616.20,,
DEBIT,11/21/2016,"VENMO 855-812-4430 NY                        11/18",-12.05,DEBIT_CARD,633.40,,
DEBIT,11/18/2016,"SHARETEA SAN DIEGO CA                        11/16",-6.21,DEBIT_CARD,645.45,,
DEBIT,11/18/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 11/16",-4.50,DEBIT_CARD,651.66,,
DEBIT,11/16/2016,"UCSD-BOOKSTORES LA JOLLA CA                  11/15",-1.07,DEBIT_CARD,656.16,,
DEBIT,11/15/2016,"99 RANCH #1016 SAN DIEGO CA                  11/14",-68.01,DEBIT_CARD,657.23,,
DEBIT,11/15/2016,"COLLEGE TRANSCRIPT 847-716-3000 IL           11/14",-1.90,DEBIT_CARD,725.24,,
DEBIT,11/14/2016,"RALPHS    8657 VIL LA LA JOLLA CA            11/14",-18.00,DEBIT_CARD,727.14,,
DEBIT,11/14/2016,"IN-N-OUT BURGER #224 MENIFEE CA              11/11",-7.51,DEBIT_CARD,745.14,,
DEBIT,11/14/2016,"VENMO 855-812-4430 NY                        11/10",-19.33,DEBIT_CARD,752.65,,
DEBIT,11/14/2016,"BURGER KING #16576 LA JOLLA CA               11/10",-4.20,DEBIT_CARD,771.98,,
DEBIT,11/10/2016,"VONS     Store  2012 SAN DIEGO CA    956237  11/10",-21.24,DEBIT_CARD,776.18,,
DEBIT,11/10/2016,"UCSD-BOOKSTORES LA JOLLA CA                  11/09",-1.07,DEBIT_CARD,797.42,,
DEBIT,11/09/2016,"UCSD-BOOKSTORES LA JOLLA CA                  11/08",-1.07,DEBIT_CARD,798.49,,
DEBIT,11/09/2016,"VENMO 855-812-4430 NY                        11/08",-9.25,DEBIT_CARD,799.56,,
DEBIT,11/08/2016,"VENMO 855-812-4430 NY                        11/07",-15.00,DEBIT_CARD,808.81,,
DEBIT,11/08/2016,"VENMO 855-812-4430 NY                        11/07",-13.75,DEBIT_CARD,823.81,,
DEBIT,11/07/2016,"VENMO 855-812-4430 NY                        11/06",-18.00,DEBIT_CARD,837.56,,
DEBIT,11/07/2016,"REGENTS PIZZA LA JOLLA CA                    11/05",-2.70,DEBIT_CARD,855.56,,
DEBIT,11/04/2016,"Regents of UC    QuikPAY EP 369388451       WEB ID: 1364199567",-2.00,ACH_DEBIT,858.26,,
DEBIT,11/04/2016,"YOGURT WORLD MIRA MESA SAN DIEGO CA          11/03",-2.42,DEBIT_CARD,860.26,,
DEBIT,11/04/2016,"UCSD-BOOKSTORES LA JOLLA CA                  11/03",-0.99,DEBIT_CARD,862.68,,
DEBIT,11/03/2016,"UCSD-BOOKSTORES LA JOLLA CA                  11/02",-0.99,DEBIT_CARD,863.67,,
DEBIT,11/03/2016,"BURGER KING #16576 LA JOLLA CA               11/02",-3.00,DEBIT_CARD,864.66,,
DEBIT,11/03/2016,"BURGER KING #16576 LA JOLLA CA               11/02",-3.55,DEBIT_CARD,867.66,,
DEBIT,11/02/2016,"La Scala         8888004797 N7077072        WEB ID: 1262437777",-540.00,ACH_DEBIT,871.21,,
DEBIT,11/01/2016,"La Scala         8888004797 N7066585        WEB ID: 1262437777",-5.00,ACH_DEBIT,1411.21,,
DEBIT,10/31/2016,"BURGER KING #16576 LA JOLLA CA               10/29",-2.58,DEBIT_CARD,1416.21,,
DEBIT,10/31/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 10/29",-10.22,DEBIT_CARD,1418.79,,
DEBIT,10/28/2016,"VONS     Store  2012 SAN DIEGO CA    038789  10/28",-2.14,DEBIT_CARD,1429.01,,
DEBIT,10/28/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/27",-1.07,DEBIT_CARD,1431.15,,
DEBIT,10/28/2016,"BURGER KING #16576 LA JOLLA CA               10/27",-3.43,DEBIT_CARD,1432.22,,
CREDIT,10/27/2016,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",671.00,ACH_CREDIT,1435.65,,
DEBIT,10/24/2016,"VONS STORE        2012 SAN DIEGO CA  543671  10/24",-3.06,DEBIT_CARD,764.65,,
DEBIT,10/24/2016,"VONS STORE        2012 SAN DIEGO CA          10/24 Purchase $3.30 Cash Back $20.00",-23.30,DEBIT_CARD,767.71,,
DEBIT,10/24/2016,"PP*ICESKIMO SAN DIEGO CA                     10/22",-2.82,DEBIT_CARD,791.01,,
DEBIT,10/24/2016,"KUNG FU TEA - SAN DIEGO SAN DIEGO CA         10/22",-3.51,DEBIT_CARD,793.83,,
DEBIT,10/24/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/21",-2.49,DEBIT_CARD,797.34,,
DEBIT,10/21/2016,"VENMO 855-812-4430 NY                        10/20",-40.00,DEBIT_CARD,799.83,,
DEBIT,10/21/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 10/19",-5.20,DEBIT_CARD,839.83,,
DEBIT,10/18/2016,"85C BAKERY CAFE USA SAN DIEGO CA             10/17",-5.75,DEBIT_CARD,845.03,,
DEBIT,10/18/2016,"VENMO 855-812-4430 NY                        10/17",-20.00,DEBIT_CARD,850.78,,
DEBIT,10/17/2016,"VONS STORE        2012 SAN DIEGO CA  194315  10/16",-9.18,DEBIT_CARD,870.78,,
DEBIT,10/17/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   609833  10/15",-2.69,DEBIT_CARD,879.96,,
DEBIT,10/17/2016,"TRADER JOE'S #020  QPS LAJOLLA CA            10/15",-1.14,DEBIT_CARD,882.65,,
DEBIT,10/17/2016,"SUPERNATURAL SANDWHICHE SAN DIEGO CA         10/15",-4.32,DEBIT_CARD,883.79,,
DEBIT,10/17/2016,"VERTICAL HOLD SPORT CL SAN DIEGO CA          10/15",-15.00,DEBIT_CARD,888.11,,
DEBIT,10/14/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        10/14",-45.99,DEBIT_CARD,903.11,,
DEBIT,10/13/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/12",-1.07,DEBIT_CARD,949.10,,
DEBIT,10/12/2016,"CHIPOTLE 0107 LA JOLLA CA                    10/11",-8.32,DEBIT_CARD,950.17,,
DEBIT,10/12/2016,"YOGURT WORLD MIRA MESA SAN DIEGO CA          10/11",-4.04,DEBIT_CARD,958.49,,
DEBIT,10/12/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/11",-1.07,DEBIT_CARD,962.53,,
DEBIT,10/11/2016,"VONS STORE        2012 SAN DIEGO CA  929945  10/11",-5.83,DEBIT_CARD,963.60,,
DEBIT,10/11/2016,"RALPHS    8657 VIL LA LA JOLLA CA            10/10",-26.45,DEBIT_CARD,969.43,,
DEBIT,10/11/2016,"IEEE PRODUCTS & SERVI 800-678-4333 NJ        10/09",-32.00,DEBIT_CARD,995.88,,
DEBIT,10/11/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        10/10",-12.78,DEBIT_CARD,1027.88,,
DEBIT,10/11/2016,"VENMO 855-812-4430 NY                        10/07",-20.00,DEBIT_CARD,1040.66,,
DEBIT,10/11/2016,"BURGER KING #16576 LA JOLLA CA               10/07",-1.39,DEBIT_CARD,1060.66,,
DEBIT,10/07/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/06",-1.07,DEBIT_CARD,1062.05,,
DEBIT,10/07/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/06",-3.13,DEBIT_CARD,1063.12,,
DEBIT,10/07/2016,"BURGER KING #16576 LA JOLLA CA               10/06",-2.79,DEBIT_CARD,1066.25,,
DEBIT,10/06/2016,"UCSD-BOOKSTORES LA JOLLA CA                  10/05",-2.56,DEBIT_CARD,1069.04,,
DEBIT,10/05/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        10/05",-23.39,DEBIT_CARD,1071.60,,
DEBIT,10/05/2016,"VENMO 855-812-4430 NY                        10/04",-18.00,DEBIT_CARD,1094.99,,
DEBIT,10/05/2016,"BURGER KING #16576 LA JOLLA CA               10/04",-5.69,DEBIT_CARD,1112.99,,
DEBIT,10/05/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        10/05",-8.99,DEBIT_CARD,1118.68,,
DEBIT,10/04/2016,"La Scala         8888004797 N6926633        WEB ID: 1262437777",-540.00,ACH_DEBIT,1127.67,,
DEBIT,10/04/2016,"VONS STORE        2012 SAN DIEGO CA  055435  10/03",-20.35,DEBIT_CARD,1667.67,,
DEBIT,10/03/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        10/02",-11.28,DEBIT_CARD,1688.02,,
DEBIT,10/03/2016,"VONS STORE        2012 SAN DIEGO CA  338935  10/01",-27.86,DEBIT_CARD,1699.30,,
DEBIT,10/03/2016,"BURGER KING #16576 LA JOLLA CA               09/30",-1.50,DEBIT_CARD,1727.16,,
DEBIT,10/03/2016,"BURGER KING #16576 LA JOLLA CA               09/30",-2.79,DEBIT_CARD,1728.66,,
DEBIT,09/30/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/30",4.98,DEBIT_CARD,1731.45,,
DEBIT,09/30/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/30",8.99,DEBIT_CARD,1726.47,,
DEBIT,09/29/2016,"UCSD-BOOKSTORES LA JOLLA CA                  09/28",-1.07,DEBIT_CARD,1717.48,,
DEBIT,09/29/2016,"Amazon.com AMZN.COM/BILL WA                  09/28",-8.63,DEBIT_CARD,1718.55,,
DEBIT,09/28/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/27",-4.98,DEBIT_CARD,1727.18,,
DEBIT,09/28/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/27",-8.99,DEBIT_CARD,1732.16,,
DEBIT,09/28/2016,"BURGER KING #16576 LA JOLLA CA               09/27",-2.79,DEBIT_CARD,1741.15,,
CREDIT,09/28/2016,"ATM CASH DEPOSIT 09/28 9700 GILMAN DR LA JOLLA CA",100.00,ATM,1743.94,,
DEBIT,09/27/2016,"99 RANCH #1016 SAN DIEGO CA                  09/26",-32.53,DEBIT_CARD,1643.94,,
DEBIT,09/27/2016,"99 RANCH #1016 SAN DIEGO CA                  09/26",-6.36,DEBIT_CARD,1676.47,,
DEBIT,09/27/2016,"UCSD-BOOKSTORES LA JOLLA CA                  09/26",-1.07,DEBIT_CARD,1682.83,,
DEBIT,09/26/2016,"VONS     Store  2012 SAN DIEGO CA    341959  09/26",-3.29,DEBIT_CARD,1683.90,,
DEBIT,09/26/2016,"UCSD-BOOKSTORES LA JOLLA CA                  09/25",-1.19,DEBIT_CARD,1687.19,,
DEBIT,09/26/2016,"VONS STORE        2012 SAN DIEGO CA  345403  09/24",-4.71,DEBIT_CARD,1688.38,,
DEBIT,09/26/2016,"VONS     Store  2012 SAN DIEGO CA    032951  09/24",-13.53,DEBIT_CARD,1693.09,,
DEBIT,09/26/2016,"VENMO 855-812-4430 NY                        09/24",-50.00,DEBIT_CARD,1706.62,,
DEBIT,09/26/2016,"UCSD-BOOKSTORES LA JOLLA CA                  09/23",-2.99,DEBIT_CARD,1756.62,,
DEBIT,09/26/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 09/22",-4.75,DEBIT_CARD,1759.61,,
DEBIT,09/26/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/24",-49.97,DEBIT_CARD,1764.36,,
DEBIT,09/23/2016,"LOS PRIMOS - 23 SAN DIEGO CA                 09/22",-7.13,DEBIT_CARD,1814.33,,
DEBIT,09/22/2016,"UCSD TRITON SVCES 858-822-1255 CA            09/22",-50.00,DEBIT_CARD,1821.46,,
DEBIT,09/22/2016,"5GUYS 0553 QSR SAN DIEGO CA                  09/20",-5.39,DEBIT_CARD,1871.46,,
DEBIT,09/22/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 09/20",-1.99,DEBIT_CARD,1876.85,,
DEBIT,09/22/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/21",-9.15,DEBIT_CARD,1878.84,,
DEBIT,09/22/2016,"BURGER KING #16576 LA JOLLA CA               09/21",-3.43,DEBIT_CARD,1887.99,,
CREDIT,09/22/2016,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",1241.57,ACH_CREDIT,1891.42,,
DEBIT,09/21/2016,"VONS STORE        2012 SAN DIEGO CA  906355  09/21",-14.31,DEBIT_CARD,649.85,,
DEBIT,09/21/2016,"Amazon.com AMZN.COM/BILL WA                  09/21",-5.40,DEBIT_CARD,664.16,,
DEBIT,09/20/2016,"VONS     Store  2012 SAN DIEGO CA    067265  09/20",-23.55,DEBIT_CARD,669.56,,
DEBIT,09/19/2016,"VALLARTA EXPRESS SAN DIEGO CA                09/18",-2.38,DEBIT_CARD,693.11,,
DEBIT,09/19/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   619433  09/18",-2.16,DEBIT_CARD,695.49,,
DEBIT,09/19/2016,"CHIPOTLE 0107 LA JOLLA CA                    09/18",-8.32,DEBIT_CARD,697.65,,
DEBIT,09/19/2016,"GOOGLE *Chrome Web S g.co/payhelp# CA        09/18",-5.00,DEBIT_CARD,705.97,,
DEBIT,09/19/2016,"TACOS EL GORDO 619-6918848 CA                09/17",-19.39,DEBIT_CARD,710.97,,
DEBIT,09/19/2016,"CHEVRON 0090319 VALLEJO CA                   09/17",-23.11,DEBIT_CARD,730.36,,
DEBIT,09/19/2016,"CITY OF SAN FRANCISC SAN FRANCISCO CA        09/17",-6.00,DEBIT_CARD,753.47,,
DEBIT,09/19/2016,"PENINSULA SEAFOOD RE SAN FRANCISCO CA        09/16",-44.00,DEBIT_CARD,759.47,,
DEBIT,09/19/2016,"DOGPATCH BOULDERS SAN FRANCISCO CA           09/16",-20.00,DEBIT_CARD,803.47,,
DEBIT,09/19/2016,"MUSASHIYA CORPORATION BERKELEY CA            09/16",-13.00,DEBIT_CARD,823.47,,
CREDIT,09/19/2016,"ATM CASH DEPOSIT 09/17 972 ADMIRAL CALLAGHAN LN VALLEJO CA",400.00,ATM,836.47,,
DEBIT,09/16/2016,"MCDONALD'S F22138 VALLEJO CA                 09/15",-2.72,DEBIT_CARD,436.47,,
DEBIT,09/16/2016,"VENMO 855-812-4430 NY                        09/15",-20.00,DEBIT_CARD,439.19,,
DEBIT,09/15/2016,"IN-N-OUT BURGER #120 PINOLE CA               09/14",-18.51,DEBIT_CARD,459.19,,
DEBIT,09/15/2016,"CHEVRON 0090319 VALLEJO CA                   09/14",-27.99,DEBIT_CARD,477.70,,
DEBIT,09/15/2016,"VENMO 855-812-4430 NY                        09/14",-26.34,DEBIT_CARD,505.69,,
DEBIT,09/13/2016,"PAYPAL           INST XFER  2ND SWING       WEB ID: PAYPALSI77",-39.98,ACH_DEBIT,532.03,,
DEBIT,09/13/2016,"99 RANCH #1773 CONCORD CA                    09/12",-6.90,DEBIT_CARD,572.01,,
DEBIT,09/13/2016,"IN-N-OUT BURGER #274 PLEASANT HILL CA        09/12",-4.12,DEBIT_CARD,578.91,,
DEBIT,09/12/2016,"RALEY'S #343 BENICIA CA              747582  09/11",-5.10,DEBIT_CARD,583.03,,
DEBIT,09/12/2016,"UCB PARKING AND TRANS C BERKELEY CA          09/11",-4.00,DEBIT_CARD,588.13,,
DEBIT,09/12/2016,"UCB PARKING AND TRANS C BERKELEY CA          09/10",-14.00,DEBIT_CARD,592.13,,
DEBIT,09/12/2016,"PANDA EXPRESS, INC BENICIA CA                09/10",-4.13,DEBIT_CARD,606.13,,
DEBIT,09/12/2016,"RALEY'S #343 BENICIA CA              211791  09/10",-7.13,DEBIT_CARD,610.26,,
DEBIT,09/12/2016,"CHEVRON 0090319 VALLEJO CA                   09/10",-21.44,DEBIT_CARD,617.39,,
DEBIT,09/12/2016,"ATM WITHDRAWAL                       000623  09/09802 SOUTH",-20.00,ATM,638.83,,
DEBIT,09/12/2016,"BURGER KING #3908 BENICIA CA                 09/10",-1.62,DEBIT_CARD,658.83,,
DEBIT,09/09/2016,"PAYPAL           INST XFER  MICROSOFTCO     WEB ID: PAYPALSI77",-1.00,ACH_DEBIT,660.45,,
DEBIT,09/07/2016,"La Scala         8888004797 N6792071        WEB ID: 1262437777",-540.00,ACH_DEBIT,661.45,,
DEBIT,09/07/2016,"L2G SOLANO REC FAIRFIELD CA          772147  09/07",-30.00,DEBIT_CARD,1201.45,,
DEBIT,09/07/2016,"IN-N-OUT BURGER #193 OAKLAND CA              09/06",-10.62,DEBIT_CARD,1231.45,,
DEBIT,09/06/2016,"SAFEWAY STORE  1883 AMERICAN CANY CA 486535  09/04",-3.99,DEBIT_CARD,1242.07,,
DEBIT,09/06/2016,"SAFEWAY  FUEL  1883 AMERICAN CANY CA 453355  09/04",-21.59,DEBIT_CARD,1246.06,,
DEBIT,09/06/2016,"BRENNAN'S BERKELEY CA                        09/03",-7.39,DEBIT_CARD,1267.65,,
CREDIT,09/06/2016,"VENMO-0          CASHOUT                    PPD ID: 5264681992",57.79,ACH_CREDIT,1275.04,,
CREDIT,09/06/2016,"Online Transfer from CHK ...5521 transaction#: 5639310889",225.00,ACCT_XFER,1217.25,,
CREDIT,09/06/2016,"ATM CASH DEPOSIT 09/03 972 ADMIRAL CALLAGHAN LN VALLEJO CA",300.00,ATM,992.25,,
CREDIT,09/06/2016,"ATM CASH DEPOSIT 09/05 972 ADMIRAL CALLAGHAN LN VALLEJO CA",460.00,ATM,692.25,,
DEBIT,09/02/2016,"SAFEWAY  STORE  0774 BENICIA CA      629305  09/01",-3.91,DEBIT_CARD,232.25,,
DEBIT,09/02/2016,"MCDONALD'S F22138 VALLEJO CA                 08/31",-1.09,DEBIT_CARD,236.16,,
DEBIT,08/31/2016,"WHEEL WORKS 462462 VALLEJO CA        682674  08/31",-463.57,DEBIT_CARD,237.25,,
DEBIT,08/31/2016,"MCDONALD'S F32398 BENICIA CA                 08/30",-3.13,DEBIT_CARD,700.82,,
DEBIT,08/31/2016,"HABIT - VALLEJO #72 VALLEJO CA               08/30",-3.64,DEBIT_CARD,703.95,,
DEBIT,08/31/2016,"CENTURY THEATRES 445 VALLEJO CA              08/30",-6.25,DEBIT_CARD,707.59,,
DEBIT,08/31/2016,"MCDONALD'S F32398 BENICIA CA                 08/30",-9.23,DEBIT_CARD,713.84,,
DEBIT,08/31/2016,"MCDONALD'S F22138 VALLEJO CA                 08/29",-3.80,DEBIT_CARD,723.07,,
DEBIT,08/30/2016,"MCDONALD'S F22138 VALLEJO CA                 08/28",-4.78,DEBIT_CARD,726.87,,
CREDIT,08/30/2016,"Online Transfer from CHK ...5521 transaction#: 5626620140",400.00,ACCT_XFER,731.65,,
DEBIT,08/29/2016,"CHEVRON 0090319 VALLEJO CA                   08/28",-31.57,DEBIT_CARD,331.65,,
DEBIT,08/29/2016,"EB SAN FRANCISCO COMI 801-413-7200 CA        08/28",-54.52,DEBIT_CARD,363.22,,
DEBIT,08/29/2016,"TACO BELL 30752 BENICIA CA                   08/26",-3.26,DEBIT_CARD,417.74,,
DEBIT,08/29/2016,"WHEEL WORKS 462462 VALLEJO CA                08/26",-195.00,DEBIT_CARD,421.00,,
DEBIT,08/26/2016,"RALEY'S #343 BENICIA CA                      08/25",-1.18,DEBIT_CARD,616.00,,
DEBIT,08/25/2016,"SAFEWAY  STORE  0774 BENICIA CA      736331  08/25",-15.02,DEBIT_CARD,617.18,,
DEBIT,08/24/2016,"ISLAND PACIFIC SUPE VALLEJO CA               08/23",-2.60,DEBIT_CARD,632.20,,
DEBIT,08/24/2016,"MCDONALD'S F22138 VALLEJO CA                 08/22",-1.85,DEBIT_CARD,634.80,,
DEBIT,08/24/2016,"MCDONALD'S F22138 VALLEJO CA                 08/22",-2.72,DEBIT_CARD,636.65,,
DEBIT,08/22/2016,"SAFEWAY  FUEL  1883 AMERICAN CANY CA 861231  08/22",-27.27,DEBIT_CARD,639.37,,
DEBIT,08/22/2016,"IN-N-OUT BURGER #274 PLEASANT HILL CA        08/20",-4.12,DEBIT_CARD,666.64,,
DEBIT,08/22/2016,"YO SUSHI VALLEJO CA                          08/19",-4.29,DEBIT_CARD,670.76,,
DEBIT,08/22/2016,"MCDONALD'S F3171 SAN FRANCISCO CA            08/19",-3.57,DEBIT_CARD,675.05,,
DEBIT,08/22/2016,"BURGER KING #7145 BENICIA CA                 08/19",-14.08,DEBIT_CARD,678.62,,
DEBIT,08/19/2016,"DAISO BA09 MARKET SAN FRANCISCO CA   748641  08/19",-3.18,DEBIT_CARD,692.70,,
DEBIT,08/19/2016,"JAMBA JUICE 0432 BENICIA CA                  08/18",-6.69,DEBIT_CARD,695.88,,
DEBIT,08/19/2016,"MCDONALD'S F15395 BENICIA CA                 08/18",-4.88,DEBIT_CARD,702.57,,
DEBIT,08/19/2016,"CHEVRON 0090319 VALLEJO CA                   08/18",-18.69,DEBIT_CARD,707.45,,
DEBIT,08/17/2016,"FIVE GUYS 1585 Q 2780 PINOLE CA      056137  08/16",-3.27,DEBIT_CARD,726.14,,
DEBIT,08/15/2016,"SAFEWAY STORE  1883 AMERICAN CANY CA 678573  08/13",-7.96,DEBIT_CARD,729.41,,
DEBIT,08/15/2016,"HABIT - VALLEJO #72 VALLEJO CA               08/12",-2.06,DEBIT_CARD,737.37,,
DEBIT,08/15/2016,"CENTURY THEATRES 445 VALLEJO CA              08/12",-8.50,DEBIT_CARD,739.43,,
DEBIT,08/15/2016,"BURGER KING #1901 VALLEJO CA                 08/13",-3.24,DEBIT_CARD,747.93,,
DEBIT,08/15/2016,"CHEVRON 0090319 VALLEJO CA                   08/12",-28.39,DEBIT_CARD,751.17,,
DEBIT,08/12/2016,"TACO BELL 30752 BENICIA CA                   08/11",-1.40,DEBIT_CARD,779.56,,
DEBIT,08/12/2016,"TACO BELL 1614 HERCULES CA                   08/11",-2.18,DEBIT_CARD,780.96,,
DEBIT,08/12/2016,"99 RANCH #1781 RICHMOND CA                   08/11",-5.87,DEBIT_CARD,783.14,,
DEBIT,08/11/2016,"CAL STUDENT STORE BERKELEY CA                08/10",-1.29,DEBIT_CARD,789.01,,
DEBIT,08/11/2016,"MCDONALD'S F22138 VALLEJO CA                 08/09",-3.69,DEBIT_CARD,790.30,,
DEBIT,08/10/2016,"BART-CLIPPER N BERKELE BERKELEY CA           08/10",-20.00,DEBIT_CARD,793.99,,
DEBIT,08/10/2016,"JAMBA JUICE 0432 BENICIA CA                  08/09",-6.69,DEBIT_CARD,813.99,,
DEBIT,08/10/2016,"JAMBA JUICE 0432 BENICIA CA                  08/09",-6.69,DEBIT_CARD,820.68,,
DEBIT,08/10/2016,"CHEVRON 0090319 VALLEJO CA                   08/09",-24.73,DEBIT_CARD,827.37,,
DSLIP,08/10/2016,"REMOTE ONLINE DEPOSIT #          1",21.78,CHECK_DEPOSIT,852.10,1,
DEBIT,08/08/2016,"SG SMOG CHECK CENTER VALLEJO CA      132400  08/08",-40.00,DEBIT_CARD,830.32,,
DEBIT,08/08/2016,"CREPEVINE PALO ALTO PALO ALTO CA             08/06",-13.59,DEBIT_CARD,870.32,,
DEBIT,08/08/2016,"CENTURY THEATRES 445 VALLEJO CA              08/05",-25.50,DEBIT_CARD,883.91,,
DEBIT,08/08/2016,"CVS/PHARMACY #09927 VALLEJO CA               08/05",-1.49,DEBIT_CARD,909.41,,
DEBIT,08/08/2016,"MCDONALD'S F15395 BENICIA CA                 08/05",-4.86,DEBIT_CARD,910.90,,
DEBIT,08/08/2016,"STARBUCKS STORE 13215 BENICIA CA             08/05",-4.45,DEBIT_CARD,915.76,,
DEBIT,08/05/2016,"THE ORIGINAL RED ONION PINOLE CA             08/05",-6.34,DEBIT_CARD,920.21,,
DEBIT,08/05/2016,"SQ *ASHA TEA HOUSE (BER Berkeley CA          08/04",-3.00,DEBIT_CARD,926.55,,
DEBIT,08/05/2016,"SQ *UJI TIME DESSERT Berkeley CA             08/04",-2.18,DEBIT_CARD,929.55,,
DEBIT,08/05/2016,"MUSIC CONCOURSE GARAGE 5105994651 CA         08/04",-15.00,DEBIT_CARD,931.73,,
DEBIT,08/05/2016,"CHIPOTLE 1505 PINOLE CA                      08/04",-9.03,DEBIT_CARD,946.73,,
DEBIT,08/05/2016,"CHEVRON 0090319 VALLEJO CA                   08/04",-22.47,DEBIT_CARD,955.76,,
DEBIT,08/04/2016,"LUCKY #718.HERC HERCULES CA                  08/04",-12.20,DEBIT_CARD,978.23,,
DEBIT,08/04/2016,"Wal-Mart Super Cente AMERICAN CANY CA        08/03",-93.77,DEBIT_CARD,990.43,,
DEBIT,08/03/2016,"CALIFORNIA ACADEMY OF 415-379-8000 CA        08/03",-29.95,DEBIT_CARD,1084.20,,
DEBIT,08/02/2016,"CHEVRON 0090319 VALLEJO CA                   08/02",-29.64,DEBIT_CARD,1114.15,,
DEBIT,08/02/2016,"IN-N-OUT BURGER #240 SAN JOSE CA             08/01",-4.40,DEBIT_CARD,1143.79,,
DEBIT,08/02/2016,"MCDONALD'S F15395 BENICIA CA                 08/01",-6.07,DEBIT_CARD,1148.19,,
DEBIT,08/02/2016,"STEVES KOREAN BBQ BERKELEY CA                07/31",-21.88,DEBIT_CARD,1154.26,,
DEBIT,08/01/2016,"SAFEWAY  STORE  0774 BENICIA CA      037759  08/01",-17.33,DEBIT_CARD,1176.14,,
DEBIT,08/01/2016,"RALEY'S #343 BENICIA CA                      07/31",-3.48,DEBIT_CARD,1193.47,,
DEBIT,08/01/2016,"VAMPIRE PENGUIN BERKELEY CA                  08/01",-4.38,DEBIT_CARD,1196.95,,
DEBIT,08/01/2016,"DAISO BA10 BERKELEY BERKELEY CA              07/31",-1.50,DEBIT_CARD,1201.33,,
DEBIT,08/01/2016,"CHEVRON 0090319 VALLEJO CA                   07/31",-27.40,DEBIT_CARD,1202.83,,
DEBIT,08/01/2016,"WHEEL WORKS 462462 VALLEJO CA        408821  07/30",-179.41,DEBIT_CARD,1230.23,,
DEBIT,08/01/2016,"TAPIOCA EXPRESS VALLEJO CA                   07/30",-3.53,DEBIT_CARD,1409.64,,
DEBIT,08/01/2016,"BURGER KING #1901 VALLEJO CA                 07/31",-4.35,DEBIT_CARD,1413.17,,
DEBIT,08/01/2016,"MCDONALD'S F22138 VALLEJO CA                 07/29",-4.78,DEBIT_CARD,1417.52,,
DEBIT,08/01/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        07/29",-13.72,DEBIT_CARD,1422.30,,
DEBIT,08/01/2016,"SAN TUNG CHINESE RES SAN FRANCISCO CA        07/28",-35.60,DEBIT_CARD,1436.02,,
DEBIT,08/01/2016,"JAPAN CENTER GARAGE SAN FRANCISCO CA         07/28",-2.50,DEBIT_CARD,1471.62,,
DEBIT,08/01/2016,"BURGER KING #7145 BENICIA CA                 07/31",-1.62,DEBIT_CARD,1474.12,,
DEBIT,07/29/2016,"SEAFOOD CITY MA VALLEJO CA                   07/29",-14.02,DEBIT_CARD,1475.74,,
DEBIT,07/29/2016,"CCSF MTA PARKING MET SAN FRANCISCO CA        07/28",-6.50,DEBIT_CARD,1489.76,,
